"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"OGFRL1",35.53866,388.62674,82.59636,270.36563,363.99234,47.8108,21.79483,35.2074,22.85347,62.29267
"SNHG5",92.06682,310.33649,160.98996,365.30821,392.73141,881.51777,68.19953,74.80048,78.84288,97.02715
"PNRC1",360.4395,679.6172,316.6224,599.4348,686.1454,364.5386,354.3297,165.4825,395.2008,171.0081
"FABP7",15.56024,11.12877,34.85265,35.00554,14.66413,241.34319,15.65916,82.23203,27.3049,1238.08871
"NCOA7",69.22276,86.32013,123.28366,48.2886,68.79051,94.27502,42.30009,326.64275,49.25887,21.41371
"ARHGAP18",39.64859,151.68952,246.12514,280.74177,231.74778,38.72447,47.26875,19.95677,38.1069,17.69709
"EPB41L2",22.283958,169.021471,91.642431,244.657037,522.497278,111.885988,8.946722,208.274741,8.613611,65.682392
"CCN2",0.3650673,0.9509395,1780.5122437,2.137329,2.1298165,386.3196028,0.4719274,3.6946404,0.9277105,13.1617136
"SGK1",101.72122,760.1083,276.32843,695.11839,1033.50219,88.59194,36.41137,517.73435,72.12807,62.69765
"MAP7",3.7987365,7.2331847,23.0807345,4.4231551,3.8459037,2.9658686,0.5624721,331.0254529,1.7990072,6.0721267
"IFNGR1",47.76001,468.98544,423.73712,351.12793,490.45338,80.18637,51.51348,73.57793,59.07842,35.76637
"TNFAIP3",209.15326,296.75409,86.84011,420.62891,436.68162,149.12585,398.47985,14.74174,691.52135,18.97437
"UTRN",62.523273,100.994443,350.485149,112.243501,82.292177,97.167045,96.397713,7.456935,73.023865,29.311387
"SOD2",130.61588,336.53978,280.15374,832.80158,634.88311,486.49569,72.81589,96.81605,96.14297,305.36762
"RNASET2",217.08756,825.6457,48.35616,972.27533,1736.93524,115.50937,89.65574,41.89549,148.07487,54.78919
"KDELR2",185.06164,146.94171,168.46469,175.27437,160.08739,485.19907,54.23144,77.37853,62.33057,198.2564
"SCIN",17.207747,41.253382,75.709619,128.994719,389.369918,6.462002,4.365739,8.072903,3.552567,3.623923
"ETV1",4.463574,3.199898,28.396691,7.266329,7.260283,85.995781,6.688595,41.117245,7.146842,351.569396
"ITGB8",8.622749,8.327313,19.565985,14.408776,6.619531,99.859446,3.87845,161.738713,7.415395,322.411747
"RAPGEF5",3.8373913,0.6271694,127.7267918,1.0660363,0.7313065,20.0021476,0.7765638,531.9094838,0.5335424,7.6538263
"GPNMB",56.15593,87.52697,14.28625,790.43796,435.79654,85.76824,20.47516,18.88453,17.12377,40.70623
"SEPTIN7",106.50653,141.83194,392.11706,160.72203,166.53531,561.38707,91.7934,383.37242,68.79946,437.72395
"ANLN",2.1593041,3.4880138,10.6896839,7.1973472,3.761696,15.4762618,3.3317891,689.9832416,0.9812496,13.9982973
"STK17A",151.71905,153.76314,69.78171,60.21255,88.03387,123.52672,265.1628,25.61499,187.68792,168.62106
"IGFBP3",2.500377,2.776714,1355.125287,6.497243,2.137223,193.355376,3.641967,6.865661,4.41177,130.423598
"IKZF1",103.304039,163.92192,11.748549,95.084667,129.701649,6.041736,224.705692,6.832089,248.944461,3.649004
"HSPB1",607.13345,437.33832,272.98561,757.60631,652.82311,877.64744,89.59812,95.45105,148.22016,389.02693
"FGL2",27.141066,490.71522,14.877215,201.748601,207.503018,31.580374,9.571551,5.857841,12.005351,6.076318
"ABCB1",2.1090508,1.1998609,361.3895731,0.7225158,0.5357389,7.378082,12.8651606,0.4021494,7.4630891,3.3245518
"SRI",79.41034,182.42782,172.39504,111.58555,123.38407,294.03915,91.43978,212.79516,123.60332,615.71323
"GNG11",0.4444288,2.3560526,901.448172,3.6023727,3.0790343,256.250512,1.5080287,6.8934655,2.9344254,43.1111888
"COL1A2",5.360482,6.030764,93.929435,6.545445,4.898178,4066.184511,3.197934,27.097616,4.357936,55.848392
"PON2",11.537017,54.161561,593.106311,51.577665,60.109428,145.309373,9.166486,152.388702,9.713961,297.49045
"ARPC1B",183.9136,780.5386,296.76978,647.56859,741.68616,267.58703,231.42195,31.34915,312.97856,59.40619
"TSC22D4",46.96282,65.8096,36.34752,53.0687,48.57224,129.84726,51.32186,687.26387,60.89984,499.83637
"PCOLCE",2.866765,3.915507,21.513779,4.650878,3.269992,697.43808,2.630373,11.437612,2.962124,37.012791
"NAMPT",101.91712,414.38899,365.48681,724.16938,473.3309,358.23369,77.70486,90.57115,129.54138,296.9413
"NRCAM",5.565684,2.007237,72.524337,7.584486,4.067174,146.810143,3.830191,37.051939,5.345774,279.171661
"FAM3C",76.16806,32.39112,73.42846,41.89155,42.28848,131.40458,20.3111,42.61601,29.62266,196.12576
"PTPRZ1",51.22273,22.41338,174.3665,54.76347,36.13975,445.15782,29.35599,280.64895,57.90972,3327.86711
"GPR37",0.3715022,0.3127656,1.6630237,1.2918664,1.0281969,8.744917,0.2687437,330.8419434,0.3136387,22.7795047
"CALU",90.51244,45.79564,238.01017,94.78252,68.60679,518.1316,23.28128,91.66465,27.942,223.8492
"PODXL",4.288795,0.7847217,597.6640765,1.7850598,1.1397483,24.6781458,1.1898207,7.7669867,1.7144738,44.8247335
"CALD1",9.073304,4.497372,886.50587,17.92532,8.755049,3123.315549,7.203658,182.962247,13.073403,380.709582
"PTN",41.62165,20.76083,328.22592,72.82604,32.94334,2015.36969,31.04337,815.38359,55.24166,3443.14275
"TRBC2",82.83696,34.621435,13.108281,9.932742,6.523379,4.019023,381.572304,3.157637,466.349511,2.981983
