"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"SIRT2"," 26.24554"," 27.34854"," 32.49934"," 51.04047"," 49.99037"," 39.74668"," 26.29252","358.35006"," 19.15223"," 80.96113"
"GMFG","177.349275","326.741114","193.684000","382.355394","323.045943"," 52.769471","295.569108"," 11.173081","275.536728","  4.319078"
"ZFP36"," 315.8468"," 748.8919"," 409.5858"," 586.7158","1107.1230"," 327.9728"," 387.8963"," 129.9962"," 294.8003"," 157.6562"
"FCGBP","  39.499292"," 186.430756","  22.772056"," 588.645305","1071.799412","  37.226337","  12.384626","  16.296466","  12.828909","   7.542051"
"PLD3"," 92.84075"," 55.02722"," 85.25546","450.89247","171.82252","166.39505"," 22.89148"," 76.78842"," 24.39500","127.39308"
"PCAT19","  0.6730976","  0.1345825","230.4372414","  0.0000000","  0.5083602","  1.6491382","  0.0000000","  0.3057770","  0.1584117","  0.0000000"
"CD79A","528.22747066"," 23.42033657","  0.63757731","  0.48402070","  0.60525280","  0.72096114","  0.64751000","  0.55634987","  1.37122640","  0.09459738"
"PAFAH1B3"," 19.32401"," 31.22789"," 24.53516"," 28.58879"," 27.74668"," 25.43973"," 18.75610"," 50.71998"," 19.33014","280.23408"
"ZNF428"," 45.04491"," 60.70394","113.64173"," 76.70176"," 62.10928","137.75861"," 58.28866","168.15876"," 48.75336","588.96547"
"APOC1","  539.05872","  881.01895","  114.73313","17446.83958"," 7034.66269","  249.62944","  141.09837","  202.83246","  135.22541","   82.47320"
"APOC2","  43.214807"," 172.297456","  28.866480"," 515.140913","2382.060541","  54.753164","   8.998392","  29.226389","  12.944994","   5.115189"
"FOSB"," 594.1381"," 701.1881"," 360.0933"," 734.3302","1431.1233"," 454.3808"," 501.5240"," 290.6808"," 360.8118"," 247.8953"
"NOP53","256.5460","287.9834","134.1857","245.6351","257.7514","178.7025","283.2607","110.5764","486.8246","123.0593"
"EMP3","235.25893","245.64364"," 42.88593","320.86561","149.55269","292.89972","211.36656"," 56.24047","300.70823","303.66190"
"CD37","451.481150","327.249976"," 18.393915","377.684718","450.292128"," 13.276390","242.734477"," 10.361581","258.122129","  3.540564"
"FCGRT","  69.72986"," 414.06006"," 346.00582","1412.44544"," 925.81277"," 124.74362","  23.79009","  24.46936","  25.93581","  76.14774"
"PRMT1"," 97.47375","101.12260","136.35326"," 68.79107"," 74.99942","122.32487"," 50.61453"," 73.58841"," 60.72445","396.31656"
"KLK6","  0.3736855","  0.0000000","  0.1255090","  0.3985549","  0.7359669","  1.2103351","  0.0000000","325.0257233","  0.1594938","  0.8220360"
"NKG7"," 60.756402"," 54.110696"," 13.768716"," 12.939036"," 13.186354","  4.836828","934.419820","  9.333399"," 24.702549","  2.259142"
"FPR1"," 16.446705","183.971292"," 11.552110","178.275914","382.554082","  6.716184","  6.534028","  4.434624","  2.500811","  1.318463"
"LAIR1"," 21.140343"," 92.091707","  8.918630","299.419546","218.016646","  8.465532"," 17.062907","  3.831773"," 14.289029","  2.476702"
"TTYH1","  5.550895","  2.316888","  7.711465","  4.032924","  3.913768"," 36.368106","  2.121531","169.239017","  4.349330","556.589001"
"LILRB4"," 32.493701","107.959240","  8.316594","275.221349","402.936946","  7.788965","  3.766579","  6.876448","  4.117624","  2.540720"
"CHMP2A"," 88.85692","148.74315","179.73781","196.91648","172.19434","195.57589"," 73.06144","171.17823"," 70.79976","502.51809"
"UBE2M"," 68.23810"," 75.70919"," 83.33345"," 80.27644"," 65.39077"," 78.61132"," 46.94778"," 74.43417"," 49.59846","268.82496"
"FKBP1A","  82.85196"," 282.95776","1074.14502"," 277.75649"," 211.73879"," 392.81530","  90.96790","  91.09955","  96.48592"," 306.07696"
"MRPS26"," 41.82883"," 52.63925"," 48.16861"," 60.14662"," 63.25245"," 77.18138"," 34.23848"," 69.91693"," 39.08214","333.38911"
"DSTN","117.0524","141.3384","607.5224","141.6887","140.9283","766.7027"," 70.8456","311.1799","105.7501","487.9280"
"RRBP1","380.17464","120.68450","226.52210","170.66429","193.86568","639.69868"," 27.94084","184.67758"," 28.44850","240.16523"
"CD93"," 17.5667940","119.5316790","664.9633656","132.6339777"," 68.6284699","  9.8273532","  5.1318196","  1.8611097","  5.8852974","  0.6570492"
"CST7"," 36.3688861","250.8747026","  6.7062128","  5.0164953","  6.6521473","  2.3697467","470.4733536","  3.7085292"," 39.5155476","  1.3380123"
"MYL9","  3.7469249","  7.5744295"," 94.0780264","  3.8439559","  6.2100482","466.6475497","  0.7555402","  8.6642977","  1.5760909"," 10.8328117"
"SAMHD1"," 49.36989","429.86155"," 54.89553","373.99265","282.01545"," 68.19474"," 85.63668"," 35.62048","109.52907"," 23.57550"
"TGM2","  3.9463959"," 13.4030182","309.1145063","  5.4317479","  3.0478185"," 51.8850334","  0.6419403","  0.3751779","  0.8370224","  0.5302510"
"MAFB","  51.931831"," 235.773532","  27.193327","1010.110835"," 935.022457","  61.418592","  16.167342","  25.704338","  12.309066","   9.420892"
"STK4","187.51174","267.22382"," 63.73145","138.04450","165.50531"," 56.52812","304.98707"," 45.98495","280.71208"," 59.59737"
"PLTP"," 43.25872"," 55.56675"," 30.85057","716.22914","613.93153","283.15259"," 10.11643"," 21.15500"," 10.04019","117.37798"
"BCAS1","  1.7953350","  1.9104454","  1.5586669","  3.2581592","  5.3225236","  7.8444045","  0.8292288","353.0611083","  1.5476744","  4.6411688"
"CTSZ"," 203.60144"," 618.85523"," 148.62972","1415.70120"," 812.83895"," 100.91524","  34.36302","  34.53210","  38.21849","  79.20852"
"COL9A3"," 17.7048976","  3.2405886","  5.1242810","  1.4209948","  1.6581567"," 14.7633389","  0.9707134"," 85.2297696","  1.1866746","360.9792943"
"SAMSN1"," 94.872147","195.039378"," 20.542267","315.472538","492.865395"," 14.218963","136.716739"," 11.480462","156.149063","  2.580685"
"APP"," 20.093236"," 49.152479","973.134658"," 74.996548"," 50.176176","308.752867","  5.914554","514.000348"," 18.823988","328.409315"
"CYYR1","  0.6171809"," 20.6900835","241.4028690","  0.2731475","  0.2749810","  1.4689602","  0.2111545","  0.1655495","  0.1749411","  0.5586100"
"OLIG1","  6.247573","  2.996082"," 21.277364","  4.247279","  4.603481"," 23.445948","  3.514036","315.855873","  3.006795","336.117649"
"RCAN1"," 11.986992"," 36.344140"," 83.694704"," 40.979179"," 56.312204","133.512427","  6.474424"," 97.259111","  7.207234","526.231487"
"CBR1"," 30.82489"," 44.37525"," 19.60381"," 59.39541"," 65.97997","117.53735"," 17.93946","452.41562"," 22.14812","211.90792"
"ITGB2"," 86.934714","570.019996"," 18.905851","793.143025","700.256557"," 19.149324","163.083322"," 15.239943","106.586585","  4.580544"
"COL18A1","  3.150985","  3.128921","284.103273","  5.070171"," 12.387673","451.865152","  4.872851"," 59.722518","  3.184022"," 12.683174"
"COL6A1","   4.863466","   3.579423","  54.150535","   3.234866","   2.654518","2039.010589","   1.475616","  23.906417","   4.806329"," 117.812829"
"COL6A2","   5.2493390","   2.8304678"," 163.4441606","   0.7763110","   0.9097098","1680.1452435","   9.3953529","   9.0125651","   6.3348185","  16.9512403"
"S100B","  26.76908"," 940.16889","  35.76297","  49.96155"," 112.02095"," 162.90838","  19.55812","1490.02275","  42.89765","1587.22102"
"CLDN5","   1.5481662","   0.8258055","3008.9466243","   0.8868691","   1.9853112","   5.9542998","   0.2052928","   2.0044309","   0.9625032","   4.1631037"
"XBP1","2127.90359"," 119.45482","  68.62109"," 104.66300"," 164.21274"," 126.56699","  78.95287","  41.49732"," 115.83384","  43.23614"
"AP1B1"," 35.07489"," 94.36437"," 53.11613","350.93687","303.21523"," 30.79846"," 16.63595"," 30.92013"," 14.07586"," 27.78670"
"SELENOM","129.849472"," 24.257213","147.000515"," 35.901697"," 43.701811","646.291173"," 37.630537"," 99.211528"," 55.396095"," 20.493899"
"PIK3IP1"," 62.481880"," 68.146837"," 47.838373","181.378376","162.506173"," 10.506020","172.631114"," 22.690140","208.654884","  3.583906"
"YWHAH"," 71.80383","649.21150","366.52311","677.84589","912.91449","121.47370"," 37.69700","106.54074"," 58.02501","104.14028"
"TIMP3","  4.788782","  2.359861","750.426895","  4.178678","  2.266481","445.122604","  2.488423"," 16.934694","  1.208678"," 89.715578"
"HMOX1"," 91.52042","255.81091"," 54.16921","795.96518","657.47445","139.76952"," 24.11503"," 31.76429"," 12.71713"," 17.01100"
"RAC2","190.3367562","117.6591859"," 13.4501599"," 53.6115045"," 49.8699363","  9.9792114","277.6444500","  3.0237726","243.2582225","  0.4423963"
"SUN2"," 33.34548"," 44.80007"," 51.11094"," 39.51665"," 28.26919"," 26.09295"," 76.22949","277.30635"," 55.09252"," 10.67578"
"PDGFB","  6.060024"," 53.296348","379.775056"," 53.432384","217.731597","  5.270603","  1.481167","  3.300109","  1.853731","  1.540861"
"SMDT1","193.83579","207.44706"," 87.55007","171.55141","206.07502","104.11223","115.64500"," 98.70881","202.63859","177.60813"
"FBLN1","  1.3765988","  1.1903328"," 21.0532733","  0.6848553","  2.5540954","980.8007335","  0.8321350"," 13.8837037","  1.0632710"," 17.9584514"
"TYMP","240.69896","991.08001"," 63.64197","772.11099","708.22915","167.00209"," 80.54334"," 18.23794"," 64.71037"," 14.27983"
"CSF2RA"," 10.8419389","253.4465410","  4.2747330","154.8487291","238.2498082","  5.0775492","  2.9373060","  4.9620772","  3.0031674","  0.4784953"
