"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"FXYD5",0.77757685,1.7857811,1.51414634,1.74363502,1.41182383,0.46589389,1.3675919,0.09519979,2.54590545,0.24643397
"MAG",0.0036166365,0.0009354537,0.0097560976,0.013356496,0.0045382554,0.0160499331,0.0054656521,8.0943952802,0.0033769523,0.0229902057
"APLP1",0.012658228,0.003741815,0.037073171,0.025630803,0.02375731,0.213553277,0.012431679,8.016626441,0.020894892,0.45273779
"HCST",0.8155515,1.7118803,0.3326829,2.1229424,2.723806,0.2456531,6.3384418,0.135425,3.8353736,0.1052061
"TYROBP",1.2649186,11.0009355,0.8809756,16.8445634,17.3806347,0.8885421,1.8301361,0.8042371,0.870515,0.4992769
"SPINT2",0.19529837,1.36014967,0.09658537,0.52964629,0.58881579,0.06107891,0.0381524,0.05953339,0.11492191,0.02159337
"PPP1R14A",0.11030741,0.58652947,0.41073171,0.04773025,0.02293494,2.1769951,0.01650413,15.53472781,0.01498523,0.13315914
"ACTN4",0.3273056,0.4415341,3.2741463,0.5047559,0.3012305,0.8724922,0.9858536,2.1442746,0.8405445,0.9289259
"SIRT2",0.1338156,0.1543499,0.1717073,0.2434926,0.2426596,0.2255907,0.2834637,3.7079646,0.1920642,0.724857
"GMFG",0.90144665,1.92703461,1.20195122,1.80870878,1.84161793,0.49754793,2.60122173,0.0976133,2.58178556,0.06770525
"ZFP36",1.6582278,4.0430309,2.9356098,4.2462266,5.6175682,2.2202407,3.2375951,1.1574149,3.1086957,1.2930717
"FCGBP",0.17540687,1.22076707,0.27902439,3.84476277,6.00328947,0.22469906,0.14821563,0.21265755,0.09476572,0.11189443
"PCAT19",0.0045207957,0.0009354537,1.6780487805,0.0019935069,0.0028021442,0.018724922,0.0007501875,0.001340842,0.0036935416,0.0024156971
"CD79A",2.701627486,0.153414406,0.005853659,0.004385715,0.005056043,0.003566652,0.013396206,0.00160901,0.02184466,0.003155196
"RABAC1",1.4059675,0.878391,1.7941463,0.8646978,0.8401864,2.6045475,1.6327296,2.7538214,1.3670325,2.2910011
"ZNF428",0.2820976,0.3489242,0.88,0.3527653,0.3318104,1.1734284,0.692959,1.5494771,0.5072816,2.8104746
"PLAUR",0.11030741,1.06922357,0.31414634,2.29788688,2.04562622,0.5283103,0.08584289,0.16009654,0.09814268,0.1120752
"APOC1",2.601266,5.736202,1.373659,33.563109,35.267392,1.77753,2.03483,2.189863,1.339067,1.039851
"APOC2",0.2061483,1.1758653,0.3043902,3.9062482,9.6447673,0.3843067,0.1835816,0.1761866,0.1206205,0.1201111
"FOSB",3.105787,3.837231,2.534634,5.51871,6.206232,2.430673,4.138356,2.583266,3.455678,1.69181
