"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"ADAMTS16-DT",0,3,0,6,1,13,1,0,4,2,1,0
"ADAMTS17",39,246,58,41,571,150,31,72,53,74,56,60
"ADAMTS18",119,170,181,43,130,78,387,68,229,196,209,64
"ADAMTS19",5,15,119,17,7,65,140,9,24,8,12,4
"ADAMTS19-AS1",1,0,11,1,0,0,8,0,0,1,0,0
"ADAMTS2",286,1523,144,1622,126,4192,386,1026,601,493,763,335
"ADAMTS20",4,0,0,1,0,1,7,3,11,2,3,1
"ADAMTS3",1752,367,4475,105,838,1068,617,1359,202,660,434,576
"ADAMTS4",3438,2478,628,2664,253,4367,1011,2069,852,4743,815,360
"ADAMTS5",309,239,557,86,323,2728,342,559,131,423,152,167
"ADAMTS6",198,296,423,1001,300,228,730,151,162,196,173,127
"ADAMTS7",146,673,395,589,47,900,518,611,394,366,404,100
"ADAMTS7P1",10,15,5,22,2,3,11,13,10,11,20,1
"ADAMTS7P3",2,6,1,9,1,8,0,3,4,1,7,2
"ADAMTS7P4",51,24,32,26,3,18,53,12,26,32,48,5
"ADAMTS8",137,230,402,180,36,70,339,338,1490,149,129,85
"ADAMTS9",1659,2839,4943,1217,1451,2013,3597,1686,2274,1404,5116,489
"ADAMTS9-AS1",16,30,35,17,18,13,63,20,24,8,67,5
"ADAMTS9-AS2",169,83,123,58,229,92,55,78,121,41,306,47
"ADAMTSL1",618,920,82,2927,115,1867,221,72,192,313,775,569
"ADAMTSL2",480,638,1056,400,119,276,795,604,701,1820,337,799
"ADAMTSL3",33,73,72,21,10,30,110,36,29,84,42,18
"ADAMTSL4",1103,587,538,454,179,1453,448,521,546,665,884,223
"ADAMTSL4-AS1",44,24,8,10,11,7,20,12,6,7,32,0
"ADAMTSL4-AS2",66,27,20,9,12,19,42,26,13,30,41,1
"ADAMTSL5",40,37,12,48,11,105,21,15,26,16,39,5
"ADAP1",202,250,242,660,95,180,108,298,244,658,202,92
"ADAP2",1737,1497,914,1642,267,1814,897,1578,816,2978,3183,1079
"ADAR",14424,10857,16141,10584,16179,12510,16568,10249,17328,19494,15704,12953
"ADARB1",408,859,555,2375,239,2939,792,455,965,946,567,679
"ADARB2",61,44,90,244,36,4,38,34,133,241,71,12
"ADARB2-AS1",1,3,0,9,2,0,1,1,8,5,3,0
"ADAT1",877,895,1609,976,847,604,1315,955,1068,1001,1410,728
"ADAT2",410,340,408,364,167,184,785,278,153,213,599,143
"ADAT3",122,164,192,62,81,215,234,110,112,115,128,44
"ADCK1",580,544,1022,472,218,397,1176,594,496,789,513,376
"ADCK2",3420,2463,3358,1607,2055,2222,2411,2447,1869,4267,2950,2671
"ADCK5",354,364,497,324,134,325,467,313,128,243,409,89
"ADCY1",2342,576,1846,2272,1230,1652,2646,1653,1871,2549,521,818
"ADCY10",22,13,15,14,12,9,27,15,6,15,19,2
"ADCY10P1",160,140,177,170,56,144,293,157,73,183,187,32
"ADCY2",3010,1468,2027,2339,588,653,597,2329,1668,7834,852,2793
"ADCY3",1679,2226,2281,1427,2006,2302,2409,1496,2149,2356,1911,2253
"ADCY4",176,310,414,259,37,350,324,377,139,369,211,146
"ADCY5",575,449,612,949,200,69,688,607,1193,1102,315,86
"ADCY6",3197,2355,2709,1711,1104,2975,5044,1811,2357,2380,2051,1750
"ADCY6-DT",39,11,17,5,8,4,24,19,5,13,29,26
"ADCY7",570,526,491,602,87,800,420,361,548,1111,475,271
"ADCY8",6485,867,1647,487,2343,356,458,731,777,3686,522,2278
"ADCY9",1155,1170,1916,1404,1087,1288,1800,1275,1418,1839,1044,1494
"ADCYAP1",19,28,515,109,13,190,63,163,6,29,66,48
"ADCYAP1R1",2505,3467,16027,2695,2943,697,30044,4733,29805,16817,4767,5451
"ADD1",16992,12779,21045,12203,6769,9319,18856,12207,17890,21248,12843,13578
"ADD2",2518,2602,5650,1760,2515,2439,6716,3146,4386,4037,2726,2439
"ADD3",4016,3607,4974,3744,3395,3057,4649,3557,5441,8229,4642,6446
"ADD3-AS1",26,10,15,30,45,10,28,13,12,29,17,16
"ADGB",2,1,1,3,2,2,4,1,4,3,0,2
"ADGRA1",365,370,1853,628,304,19,855,715,379,1100,569,170
"ADGRA1-AS1",32,15,91,47,17,0,38,60,19,54,47,7
"ADGRA2",348,2232,1166,2791,94,7855,1623,1104,1044,1828,548,559
"ADGRA3",2546,3122,3707,1458,3596,2491,5384,2680,4437,3168,2005,5358
"ADGRB1",632,1491,15177,1600,271,104,16765,4308,2019,625,2337,20
"ADGRB2",6507,4587,11535,4179,2250,2333,9317,5084,6143,7554,7027,6502
"ADGRB3",1131,757,2600,692,1530,440,1978,1188,1677,725,915,1303
"ADGRD1",215,141,283,123,28,52,126,268,211,549,149,97
"ADGRD1-AS1",1,1,0,1,0,0,0,1,0,0,0,0
"ADGRD2",2,12,6,5,4,3,27,0,5,0,10,0
"ADGRE1",436,297,141,80,27,165,74,464,173,633,151,112
"ADGRE2",864,920,539,379,122,1117,406,919,542,964,839,362
"ADGRE3",36,40,15,0,6,43,9,42,2,13,7,13
"ADGRE4P",177,109,46,119,12,83,56,90,31,161,210,29
"ADGRE5",3522,2947,6307,1848,2886,7118,5914,2887,2964,4197,1913,1696
"ADGRF1",2,6,2,2,1,1,0,0,0,3,0,2
"ADGRF2",0,7,3,4,0,5,3,1,0,0,2,0
"ADGRF3",30,24,43,22,25,24,50,16,13,28,61,18
"ADGRF4",2,6,1,7,0,4,2,2,0,5,4,1
"ADGRF5",656,2213,1955,1540,266,1360,2277,2165,1442,1898,1359,1167
"ADGRF5-AS1",0,0,1,0,0,1,0,0,0,0,0,0
"ADGRF5P1",5,60,9,9,5,13,29,17,21,9,16,12
"ADGRF5P2",0,6,1,2,1,2,4,0,1,2,2,4
"ADGRG1",25171,18052,45126,15697,10251,3690,50700,20374,39838,50162,13683,20704
"ADGRG2",10,32,17,54,32,204,17,45,34,17,24,99
"ADGRG3",104,80,21,33,4,130,25,95,9,22,38,22
"ADGRG4",2,3,0,1,4,0,0,0,2,0,4,0
"ADGRG5",35,47,159,13,26,28,58,41,20,165,26,93
"ADGRG6",92,173,300,80,35,183,554,98,163,137,580,258
"ADGRG7",9,91,86,14,4,60,95,10,2,7,173,5
"ADGRL1",4312,5305,7872,4206,4973,3745,8588,5255,9053,3891,1999,8048
"ADGRL1-AS1",181,120,269,120,292,124,291,163,159,132,239,132
"ADGRL2",3618,1254,1820,1147,2596,1873,7371,1354,5811,2376,2940,1060
"ADGRL3",1590,3281,5163,1264,2185,2290,5861,3185,4375,3057,2532,3853
"ADGRL3-AS1",3,2,2,5,0,0,2,6,1,0,0,0
"ADGRL4",388,1044,1944,693,137,986,1468,2152,561,1199,876,697
"ADGRV1",2182,1175,1111,629,597,119,1598,568,1270,3164,354,872
"ADH1A",0,2,0,0,2,1,5,0,2,1,1,1
"ADH1B",3,7,4,3,11,11,1,2,2,3,4,5
"ADH1C",0,6,3,4,4,3,0,2,1,1,8,1
"ADH4",2,1,1,7,10,1,0,1,11,0,17,2
"ADH5",7814,6579,9052,4794,3414,7466,6463,7268,6042,6950,9395,4797
"ADH5P2",2,1,5,2,0,4,4,4,2,2,5,2
"ADH5P3",3,5,4,6,2,5,5,2,3,9,11,1
"ADH5P4",42,35,43,35,22,32,26,34,38,28,62,27
"ADH5P5",1,0,1,2,0,0,0,0,0,0,0,0
"ADH6",8,14,15,12,17,15,15,1,9,6,17,9
"ADH7",4,3,2,0,2,0,1,2,1,2,4,3
"ADHFE1",273,322,303,234,319,118,420,183,176,420,534,136
"ADI1",3583,4717,4075,2434,1316,2927,2535,3782,1840,3392,5570,3459
"ADI1P1",0,0,0,0,0,0,0,0,0,0,0,0
"ADI1P2",0,0,0,0,0,0,0,0,0,0,0,0
"ADI1P3",0,0,0,0,0,0,0,0,0,0,0,0
"ADIG",3,9,5,0,7,0,5,3,1,15,16,7
"ADIPOQ",0,0,1,0,1,55,0,1,1,2,1,0
"ADIPOQ-AS1",0,0,1,0,0,0,0,0,0,0,1,0
"ADIPOR1",7847,5531,4237,3958,4929,7710,3902,4502,4662,6158,6797,2887
"ADIPOR1P1",1,0,0,0,0,0,0,0,0,0,0,0
"ADIPOR1P2",3,0,1,1,1,4,0,1,1,1,0,0
"ADIPOR2",4484,3571,4976,3198,3649,3107,4164,3124,4286,4229,3744,3969
"ADIRF",0,0,0,0,0,0,0,0,0,0,0,0
"ADIRF-AS1",101,113,24,316,117,230,132,34,79,67,88,17
"ADK",1073,790,1683,931,983,992,1038,1249,1000,1127,1637,959
"ADM",15765,4368,620,3296,10034,12773,5412,2787,13319,1042,13362,1890
"ADM-DT",10,12,7,5,86,5,10,4,8,1,10,5
"ADM2",62,167,24,85,10,427,49,31,78,28,25,6
"ADM5",41,57,108,42,29,27,78,93,18,32,34,18
"ADNP",5407,4149,9593,3566,4421,4750,11244,6284,5621,6291,5249,3723
"ADNP-AS1",85,63,196,33,42,44,185,129,56,80,130,78
"ADNP2",1726,1664,2500,995,1984,1313,2770,1445,1730,1502,1398,1473
"ADO",1912,1321,2458,1758,1136,1749,2043,1415,1334,2138,2356,1281
"ADORA1",3781,2512,5263,1754,4342,953,5730,4063,3647,5221,4169,4137
"ADORA2A",7,8,9,6,5,16,27,14,4,12,4,3
"ADORA2A-AS1",9,7,8,10,3,11,29,5,15,7,6,2
"ADORA2B",360,554,232,534,535,661,561,400,607,229,367,498
"ADORA2BP1",2,8,1,1,0,8,0,4,0,4,1,0
"ADPGK",3164,2593,2871,4069,2430,3204,2730,2841,1765,2702,5333,1969
"ADPGK-AS1",14,10,13,22,8,9,4,23,14,19,37,39
"ADPRH",923,1087,740,792,459,1562,826,748,839,1222,1213,685
"ADPRHL1",77,42,146,169,43,36,91,78,58,81,65,31
"ADPRM",434,263,344,239,537,189,309,314,246,239,417,188
"ADPRS",3058,1907,2579,1631,1494,1847,2575,1971,1746,2736,3050,2714
"ADRA1A",14,220,5,59,26,102,64,13,164,97,38,28
"ADRA1B",58,170,53,292,53,88,120,52,138,198,22,40
"ADRA1D",313,413,164,58,139,94,202,175,62,464,85,482
"ADRA2A",25,225,39,166,188,1053,56,40,91,16,50,378
"ADRA2B",43,63,17,188,15,87,30,20,39,108,32,126
"ADRA2C",11,27,42,48,7,15,12,39,32,13,12,8
"ADRB1",95,123,163,327,243,27,230,85,121,70,326,316
"ADRB2",172,109,142,68,19,86,118,139,93,334,136,136
"ADRB3",2,2,8,12,3,9,2,9,4,0,8,3
"ADRM1",4209,4053,5861,4041,2699,4006,5400,4146,2913,4612,3936,2624
"ADSL",3689,2820,6564,2080,1407,3072,4156,3945,1896,2921,5505,1008
"ADSS1",1106,719,331,671,602,1063,417,403,842,544,837,510
"ADSS2",1885,1831,1818,1634,1532,1971,3031,1594,2363,1452,2791,968
"ADTRP",10,33,3,82,5,65,6,55,23,6,28,6
"AEBP1",40363,15008,17524,22148,3414,16909,29628,24401,68040,71087,5985,6089
"AEBP2",1313,1346,1122,983,1669,1300,1839,881,2026,1020,1441,1351
"AEN",2183,2693,2207,3923,271,1065,2827,2394,1614,1454,2460,1040
"AFAP1",4559,3113,3990,2177,813,5285,3392,2624,2889,3723,2678,2175
"AFAP1-AS1",15,13,15,21,4,13,20,15,18,19,11,3
"AFAP1L1",1412,993,5015,530,3316,960,1917,1907,1374,1522,811,737
"AFAP1L2",969,960,916,728,364,1122,1129,550,818,1366,556,344
"AFDN",2791,2177,4279,2673,1512,1823,5206,2381,3751,3153,2559,1815
"AFDN-DT",75,33,109,41,30,9,139,62,55,58,106,14
"AFF1",2552,2291,2155,1612,1393,2960,4095,1778,4550,2258,2727,2387
"AFF2",834,15,25,260,34,14,16,12,61,307,10,4
"AFF2-IT1",0,0,0,0,0,0,0,0,0,0,0,0
"AFF3",1154,383,868,481,100,387,481,847,443,1018,303,41
"AFF4",7047,4678,5935,4317,5935,6026,6917,4267,8056,5206,5301,4525
"AFF4-DT",0,1,2,2,3,3,2,4,3,1,6,1
"AFG1L",310,316,396,259,168,185,392,268,355,280,402,291
"AFG3L1P",968,707,732,643,586,476,1963,494,336,630,995,167
"AFG3L2",2023,1766,2496,1786,2132,2053,2736,1503,2208,2217,1337,2247
"AFG3L2P1",7,4,5,4,5,2,3,2,9,5,2,4
"AFM",0,0,0,0,0,1,0,0,0,0,0,0
"AFMID",1142,883,1169,620,752,713,940,948,545,1253,956,605
"AFP",43,107,1,25,5,37,4,5,7,44,53,47
"AFTPH",1428,1289,1226,1022,1076,1022,1233,1044,1370,1245,1920,930
"AFTPH-DT",55,146,48,32,33,63,49,40,33,48,157,68
"AGA",1044,1293,1214,1016,444,1161,1015,940,1169,986,3032,666
"AGA-DT",16,12,18,14,7,7,14,17,11,36,16,13
"AGAP1",4301,2729,6912,3154,2036,2068,8034,2860,6827,4522,2770,1142
"AGAP1-IT1",7,8,4,4,2,3,12,4,3,10,12,2
"AGAP10P",23,16,3,7,5,11,6,7,10,10,12,5
"AGAP11",0,0,0,0,0,0,0,0,0,0,0,0
"AGAP12P",0,15,25,17,4,17,30,17,3,8,25,2
"AGAP13P",3,5,4,2,3,5,14,1,1,5,6,3
"AGAP14P",13,8,18,2,3,10,2,10,2,14,7,0
"AGAP2",1539,712,2832,3367,690,395,2826,1501,2013,1135,724,466
"AGAP2-AS1",475,504,690,597,343,817,706,642,414,393,425,514
"AGAP3",4623,3554,6596,5492,2918,4307,6644,4654,4128,5707,5097,2946
"AGAP4",96,81,109,113,107,83,338,82,61,79,199,31
"AGAP5",12,11,13,14,18,14,29,7,11,9,19,0
"AGAP6",510,365,393,329,254,359,780,266,147,293,641,68
"AGAP7P",17,9,13,38,3,13,7,7,1,24,32,2
"AGAP9",182,170,36,212,26,177,392,28,67,167,288,7
"AGBL1",3,0,0,6,3,0,7,1,4,2,0,0
"AGBL1-AS1",0,0,0,0,0,0,1,0,0,0,0,0
"AGBL2",78,82,63,46,133,38,184,53,53,32,106,43
"AGBL3",349,263,330,103,171,169,341,231,125,305,425,106
"AGBL4",88,94,89,102,176,21,70,43,132,76,92,268
"AGBL4-AS1",0,0,0,0,0,0,0,0,0,1,0,0
"AGBL4-IT1",0,1,0,0,2,0,0,0,1,0,0,0
"AGBL5",2182,1332,2717,1163,1074,872,2209,1587,1288,2116,1701,1101
"AGBL5-AS1",5,3,2,1,6,2,5,3,5,2,4,0
"AGBL5-IT1",25,12,23,34,23,12,45,21,20,23,34,22
"AGER",355,387,231,260,213,275,679,230,84,139,393,69
"AGFG1",6242,5471,5464,3010,2856,5879,5984,4318,5626,4355,7514,3598
"AGFG2",1896,2801,1839,1170,1441,799,2413,1518,5708,2024,2291,2730
"AGGF1",2407,2405,3243,1911,3060,2083,3295,2074,3662,2721,2129,3833
"AGGF1P1",0,2,2,5,0,0,0,0,0,2,0,1
"AGGF1P2",1,4,0,15,0,0,1,0,5,1,2,0
"AGGF1P3",3,1,1,1,10,0,5,1,3,2,6,1
"AGGF1P4",0,0,0,0,0,0,0,0,0,0,0,0
"AGGF1P5",0,0,0,0,0,0,0,0,0,0,0,0
"AGGF1P6",0,0,0,0,0,0,0,0,0,0,0,0
"AGGF1P7",0,1,0,0,0,0,0,0,0,0,0,1
"AGGF1P8",0,0,0,0,0,0,0,0,0,0,0,0
"AGGF1P9",0,0,0,0,0,0,1,0,1,0,2,0
"AGK",2613,2435,2977,1893,2178,1710,3103,1728,1210,2125,2752,1698
"AGK-DT",5,9,10,1,26,1,16,10,5,8,20,9
"AGKP1",0,0,1,0,1,0,0,1,0,0,1,1
"AGKP2",1,1,1,2,2,3,3,0,1,5,3,0
"AGL",1021,1052,1454,929,1090,857,1584,830,1927,858,1738,1764
"AGMAT",116,72,109,95,51,66,87,105,47,155,192,83
"AGMO",323,828,639,16,229,498,161,297,107,137,566,300
"AGO1",1966,1428,2986,1559,2009,2091,2759,1650,2212,3116,2291,2587
"AGO2",3581,1760,3357,2191,1806,3199,4506,1822,2556,2811,3276,1303
"AGO3",1262,1013,1539,1012,1389,1390,2070,943,1029,1326,1512,1096
"AGO4",1468,1122,1278,884,928,1291,1852,1194,1079,1793,1562,863
"AGPAT1",6400,6354,7022,4034,5381,5268,6774,5308,6118,6011,4275,5519
"AGPAT2",435,913,728,1271,615,1746,974,1000,1004,561,1124,790
"AGPAT3",6090,4732,6714,5754,3836,5106,6472,4224,6291,6667,4704,7201
"AGPAT4",1319,1478,3207,1984,575,2269,4585,1358,2186,1852,1243,621
"AGPAT5",7091,6535,10243,2357,3829,3529,7789,5552,6406,4685,9448,4069
"AGPAT5P1",0,0,0,0,0,0,0,0,0,0,0,0
"AGPS",2478,2223,2787,2999,1593,2504,2470,1906,2051,2973,3095,1891
"AGR2",2,2,1,7,1,0,0,1,11,0,1,0
"AGR3",0,8,0,0,2,1,27,6,19,4,3,3
"AGRN",8602,13845,22217,5753,2926,17901,25910,11793,16388,17482,10259,7881
"AGRP",13,2,4,5,3,4,5,4,5,11,30,1
"AGT",5105,40592,28541,6096,7518,26497,35247,17375,39907,21275,13819,7080
"AGTPBP1",925,1029,769,864,864,913,1438,767,1479,980,1431,915
"AGTR1",179,49,74,6,10,86,18,18,19,77,39,14
"AGTR2",0,0,0,0,1,0,0,0,0,0,0,0
"AGTRAP",2396,2542,1930,1520,1117,2303,1734,2160,1633,3024,3207,2493
"AGXT",62,12,1,9,0,49,23,2,129,9,2,0
"AGXT2",0,4,1,1,0,0,0,0,0,0,1,1
"AHCTF1",2015,1995,1905,1669,2239,1971,2878,1188,3957,1511,3115,878
"AHCTF1P1",17,35,58,36,27,44,49,23,66,25,66,9
"AHCY",6178,7767,23433,3533,5544,5389,13563,10533,4832,6527,8133,5973
"AHCYL1",14048,7011,19700,13983,12384,7584,11678,18456,13781,26532,15628,31706
"AHCYL2",2998,5864,6290,2708,3862,1769,8152,2554,8361,2976,4608,7978
"AHCYP2",4,3,6,1,3,3,2,1,4,3,7,0
"AHCYP3",5,1,2,0,1,8,2,2,3,4,1,3
"AHCYP4",0,1,4,0,1,0,3,3,2,2,4,2
"AHCYP5",0,1,1,0,0,2,0,0,1,1,0,0
"AHCYP7",0,1,3,0,0,0,0,0,0,0,0,0
"AHCYP8",0,0,0,0,0,0,0,0,0,0,0,0
"AHDC1",1688,2297,3779,2482,1013,2712,4874,2250,5368,3820,2602,3496
"AHI1",957,941,1171,1543,865,927,1447,745,927,537,1480,635
"AHNAK",10461,6045,6491,21632,2626,19852,16809,6447,38052,15781,6308,9284
"AHNAK2",2825,1508,195,2637,430,3964,1519,795,11438,866,570,369
"AHR",1639,1476,2542,5539,238,2259,1611,2985,2725,1572,6647,546
"AHRR",216,93,231,156,158,36,143,160,74,107,48,157
"AHSA1",3851,4223,4539,3994,3169,4043,3868,3462,2875,4432,4661,3438
"AHSA2P",2644,2061,1403,1380,1111,2014,8354,1054,1046,1353,2610,224
"AHSG",2,16,8,0,0,4,20,4,11,5,18,3
"AHSP",6,3,1,12,0,3,1,12,0,1,5,0
"AICDA",4,2,0,0,1,3,1,2,1,2,1,3
"AIDA",2022,1321,2071,1174,1038,1814,2193,1826,2769,2072,2511,974
"AIDAP1",6,4,4,8,6,4,7,3,18,7,9,4
"AIDAP2",70,37,15,50,6,13,13,13,27,77,54,6
"AIDAP3",0,0,0,0,0,0,0,0,0,0,0,0
"AIF1",4130,2836,1610,1416,326,3527,842,4693,1178,5476,6304,2517
"AIF1L",2849,4901,9793,2976,5959,1350,17186,3237,5234,6957,6049,7664
"AIFM1",927,1107,1616,1955,948,1354,1820,1165,957,1512,1792,1147
"AIFM1P1",0,1,0,0,1,0,0,0,0,0,0,0
"AIFM2",510,493,250,950,531,1278,769,299,568,454,880,428
"AIFM3",102,131,137,344,43,56,86,69,78,94,493,66
"AIG1",3493,2649,3448,2607,1627,1588,2398,2489,2236,2565,3262,2721
"AIG1P1",0,0,0,0,1,0,0,0,0,0,0,0
"AIM2",49,125,12,553,9,240,4,19,51,46,142,19
"AIMP1",2645,1846,2793,1888,1592,1782,2453,2242,1942,2115,3637,1665
"AIMP1P1",0,0,0,1,1,0,0,0,0,0,0,0
"AIMP1P2",0,0,0,1,0,0,0,0,0,0,0,0
"AIMP2",1356,1013,1735,853,1018,861,1507,1031,864,1277,1550,780
"AIP",2746,2457,3121,1626,2005,2448,2344,2670,1774,2204,1986,1593
"AIPL1",0,0,0,1,1,0,0,1,1,3,1,3
"AIRE",134,139,15,46,95,11,72,46,17,60,335,12
"AIRN",0,0,0,3,1,0,1,0,1,0,1,0
"AJAP1",65,65,316,732,100,24,114,125,298,140,86,24
"AJM1",221,386,499,736,213,294,712,451,681,404,539,201
"AJUBA",955,609,900,385,366,958,1226,600,588,1119,514,460
"AJUBA-DT",31,43,41,16,40,22,42,22,16,37,57,39
"AK1",179,287,389,985,137,272,547,468,522,327,499,230
"AK2",7738,6014,7050,4671,6683,5711,4800,6122,3767,5549,12669,7832
"AK2P2",4,4,4,2,8,1,3,1,4,2,4,4
"AK3",3399,4473,2473,2873,3022,2920,4001,2726,3671,3079,8292,3759
"AK3P2",4,2,1,1,2,1,6,3,3,1,3,1
"AK3P3",29,23,48,13,17,19,83,44,16,29,20,10
"AK3P4",2,1,0,0,0,0,0,0,0,0,0,0
"AK3P5",0,0,2,0,1,2,2,2,0,1,0,0
"AK4",8395,5029,5263,2993,9597,4585,6209,3086,14660,2534,6883,13208
"AK4P1",35,20,43,15,35,14,40,18,82,15,92,32
"AK4P2",0,1,0,2,1,0,0,0,1,0,0,0
"AK4P3",9,1,11,2,7,7,10,9,8,4,12,1
"AK4P4",0,0,1,0,0,1,0,0,2,0,1,0
"AK4P5",0,0,0,0,1,0,0,0,0,0,0,0
"AK4P6",0,1,1,0,0,0,0,0,0,0,2,1
"AK5",256,261,592,3451,563,336,218,326,1035,952,357,86
"AK6",1156,983,854,947,798,1135,1167,1022,899,1012,1544,915
"AK6P1",0,0,0,0,0,1,1,0,0,0,0,0
"AK6P2",0,0,1,0,1,0,0,1,0,1,1,0
"AK7",17,50,21,51,16,18,78,10,126,10,50,31
"AK8",80,222,133,144,158,55,168,121,190,120,190,255
"AK9",235,123,341,170,138,73,377,274,314,274,282,159
"AKAIN1",1,3,0,7,3,1,1,1,4,0,3,0
"AKAP1",1951,1304,2343,1493,1771,978,3095,1839,3193,2705,1543,1883
"AKAP1-DT",38,32,62,157,55,16,51,67,40,48,131,76
"AKAP10",1625,1389,2061,1227,1864,1128,2134,1609,1665,1495,1753,1165
"AKAP11",3847,1481,4233,3151,2551,1615,4691,2546,5817,3318,3420,1578
"AKAP12",18819,11378,4235,9430,23768,5388,15650,6324,53282,4147,14875,15529
"AKAP13",3780,4385,3665,6980,2637,5567,5014,2613,5908,5130,4193,3839
"AKAP14",2,2,2,6,2,2,2,4,0,1,4,2
"AKAP17A",2447,2174,1825,1828,1665,2959,2882,1502,1414,1866,2320,853
"AKAP17BP",2,1,0,0,1,0,0,0,0,3,1,0
"AKAP3",162,66,112,120,152,63,98,80,115,184,159,234
"AKAP4",0,0,0,0,0,1,0,0,0,0,0,0
"AKAP5",135,133,260,361,352,150,197,252,168,131,237,194
"AKAP6",1793,1189,3576,2324,722,1066,1827,2178,2620,2817,2240,1887
"AKAP7",887,484,4982,673,633,373,1625,1507,912,576,1451,1107
"AKAP8",2434,1898,2359,1000,1396,1782,3530,1712,1968,1562,1863,940
"AKAP8L",2359,2699,3384,1444,1873,2023,4062,2526,2032,2024,1870,1676
"AKAP8P1",0,0,0,1,0,0,0,0,0,0,0,0
"AKAP9",1367,1780,1177,2966,1865,2065,2325,1111,2360,1534,2018,1305
"AKIP1",1088,1178,1173,1101,861,1252,1281,1047,997,1156,2160,898
"AKIRIN1",6838,4388,6646,2366,3323,3499,5307,5793,3473,5179,7917,5533
"AKIRIN1P1",0,0,0,0,0,0,0,0,0,0,0,0
"AKIRIN1P2",2,0,2,2,1,2,4,0,2,3,2,0
"AKIRIN2",3447,4471,4640,2915,1428,3838,3553,3637,2423,2964,4232,3022
"AKIRIN2P1",1,1,1,1,2,2,1,0,0,0,1,0
"AKNA",1128,1542,1079,1239,557,1655,1605,1277,1423,1844,1265,871
"AKNAD1",60,178,146,33,86,75,79,38,55,76,173,41
"AKR1A1",4063,4588,4799,4007,2885,4596,3197,4627,2553,5667,8500,4403
"AKR1B1",8643,9330,12162,6449,2942,7202,9461,9578,6415,12577,10278,6602
"AKR1B10",35,35,4,41,3,40,6,4,16,16,44,3
"AKR1B10P1",0,1,0,0,0,0,0,0,0,1,0,0
"AKR1B10P2",0,0,0,0,0,0,0,0,0,0,0,0
"AKR1B15",25,19,8,29,9,113,8,41,31,60,3,14
"AKR1B1P1",4,3,9,6,3,4,7,2,6,6,6,6
"AKR1B1P2",7,4,6,7,1,5,10,7,6,11,14,0
"AKR1B1P3",4,6,6,7,7,4,7,4,3,4,4,2
"AKR1B1P4",0,0,0,1,0,0,0,0,2,0,1,0
"AKR1B1P5",0,1,1,0,0,0,2,0,0,0,0,0
"AKR1B1P6",1,0,0,1,0,1,2,0,0,1,0,1
"AKR1B1P7",0,5,6,8,3,6,4,5,7,8,14,4
"AKR1B1P8",0,0,0,0,0,0,1,0,1,1,0,0
"AKR1C1",71,61,68,99,27,577,36,100,159,146,57,18
"AKR1C2",6,35,17,56,13,479,8,31,39,15,56,5
"AKR1C3",128,180,207,310,64,501,154,311,427,325,253,43
"AKR1C4",2,0,0,1,0,1,1,0,0,0,0,1
"AKR1C5P",0,0,0,0,0,1,0,0,0,0,0,0
"AKR1C6P",0,0,0,0,0,1,1,0,0,1,0,0
"AKR1C7P",4,2,0,4,0,2,0,0,2,0,1,0
"AKR1C8P",0,0,0,0,0,2,0,0,0,0,0,0
"AKR1D1",3,5,1,5,2,1,0,1,0,1,3,3
"AKR1D1P1",1,0,0,0,0,0,0,0,1,0,0,0
"AKR1E2",13,15,12,26,1,10,18,20,14,14,46,6
"AKR7A2",2585,1466,3465,1852,1892,1497,2875,2223,2097,2864,3846,3539
"AKR7A2P1",14,11,11,5,8,21,15,10,11,3,20,1
"AKR7A2P2",6,2,6,1,1,1,7,0,1,7,6,2
"AKR7A3",61,38,52,52,38,25,134,28,108,41,133,41
"AKR7L",49,19,24,51,38,17,90,27,19,26,67,17
"AKT1",9350,8471,9700,5539,5473,10953,10245,7463,6420,7648,8376,7200
"AKT1S1",2674,2594,5103,1676,2790,2144,4928,3394,3322,2830,2184,3496
"AKT2",5934,7032,13029,2926,2888,5997,13429,7193,5794,5177,5493,4099
"AKT3",2458,2121,2746,3154,889,2198,3083,2317,2709,3216,2582,1143
"AKT3-IT1",0,3,1,0,0,1,2,0,0,4,2,0
"AKTIP",2360,1373,2377,1275,985,836,2433,1963,2425,1987,2276,1733
"ALAD",1955,2806,3050,4406,1355,2337,2858,2421,3115,3798,4231,1730
"ALAS1",2626,2030,4476,2204,2033,2219,2680,2321,1983,3738,2785,2171
"ALAS2",103,22,24,10,38,17,7,24,8,4,20,19
"ALB",39,31,9,26,2,17,50,10,8,29,27,1
"ALCAM",3959,2301,1888,2780,541,2149,5833,1831,5874,5032,3838,982
"ALDH16A1",737,984,2112,1030,613,943,2558,1410,1117,1450,963,1098
"ALDH18A1",2046,2848,3023,4188,2432,5146,2969,2014,2352,2809,4386,2106
"ALDH1A1",631,5281,303,1325,293,1452,407,385,1368,700,2020,4284
