"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"CLEC3B",660,113,101,41,52,161,89,95,197,139,151,43
"CLEC4A",202,250,130,110,24,522,132,222,80,185,474,133
"CLEC4C",1,3,0,1,0,0,0,1,1,1,2,0
"CLEC4D",8,25,2,2,0,66,3,20,5,4,10,11
"CLEC4E",135,280,42,27,28,394,42,127,54,34,114,197
"CLEC4F",22,8,9,12,1,9,67,19,6,11,50,1
"CLEC4G",0,1,18,16,8,510,2,64,12,0,3,0
"CLEC4GP1",0,0,5,7,1,45,3,9,3,1,0,0
"CLEC4M",1,0,3,0,1,4,4,1,2,1,3,1
"CLEC4OP",0,0,0,0,0,8,0,0,0,1,0,0
"CLEC5A",2102,1812,337,2175,466,1816,1267,1133,1072,1092,3752,1921
"CLEC6A",0,2,0,1,1,7,0,3,1,0,4,2
"CLEC7A",1183,1115,399,490,119,1478,441,791,304,815,2610,424
"CLEC9A",37,14,101,4,3,11,44,44,21,79,44,6
"CLECL1",20,38,26,57,4,29,31,44,15,19,341,26
"CLGN",79,270,39,116,38,102,50,41,74,90,125,232
"CLHC1",328,282,456,228,307,201,870,331,305,165,645,204
"CLIC1",17733,18710,12892,20739,7363,21861,11778,14941,10245,12263,24217,9777
"CLIC1P1",30,40,22,48,15,35,17,28,17,29,52,11
"CLIC2",526,350,275,160,46,1081,112,341,141,509,478,76
"CLIC3",8,16,25,280,1,64,23,20,22,15,18,8
"CLIC4",29734,29283,33576,18910,17990,39684,25357,28839,46422,24335,66067,30111
"CLIC4P1",7,13,21,11,12,16,14,14,30,10,49,15
"CLIC4P2",1,2,1,1,1,0,0,0,2,1,3,0
"CLIC4P3",12,6,17,4,6,19,9,7,19,7,21,10
"CLIC5",13,41,87,55,9,42,21,11,9,62,52,55
"CLIC6",38,164,10,44,77,83,123,27,51,23,511,44
"CLINT1",4228,3463,4297,2701,3004,4443,4536,2741,3498,3555,3726,2675
"CLIP1",4438,2977,4322,3776,1829,4214,5788,3872,5945,3744,4266,2845
"CLIP1-AS1",4,0,8,6,1,0,8,7,0,3,1,0
"CLIP2",10991,6954,21927,5730,4961,8346,25738,10302,18596,26472,6837,6209
"CLIP3",8388,8707,21358,10644,9607,5032,17019,12826,16473,11785,4945,14173
"CLIP4",1243,1124,668,1127,731,1057,1136,759,1403,1011,1837,731
"CLK1",4124,3179,2753,2394,1524,3051,6568,2472,1567,2279,6327,730
"CLK2",2183,1825,1880,1230,1810,1803,3641,1432,1046,1483,2921,1079
"CLK2P1",7,5,8,7,8,11,19,4,2,2,16,4
"CLK3",2395,2029,1833,2536,2283,1828,2791,1432,1645,1814,2237,1296
"CLK3P2",1,1,0,9,0,0,1,0,2,8,0,0
"CLK4",1091,766,1024,856,544,888,1941,776,566,702,1264,299
"CLLU1",1,1,0,1,0,8,0,0,0,0,1,0
"CLLU1-AS1",0,1,3,0,0,0,1,1,0,0,2,0
"CLMAT3",9,13,13,11,9,17,13,4,1,12,6,6
"CLMN",801,871,381,1188,597,805,723,577,699,1029,1111,351
"CLMP",175,835,105,1468,89,6295,158,293,149,172,448,265
"CLN3",967,796,1113,504,626,670,1060,837,626,1050,857,637
"CLN5",1561,1122,1628,835,602,891,623,1048,626,1227,1543,441
"CLN6",1248,1616,1551,2575,989,1741,1540,944,926,1662,1795,1376
"CLN8",1707,993,1513,1471,394,1091,1833,967,1989,2433,1730,509
"CLN8-AS1",958,457,678,674,190,387,579,501,513,852,1267,310
"CLNK",7,6,6,8,0,17,6,8,7,12,11,0
"CLNS1A",5647,2865,5812,2306,4511,1873,5269,4613,3682,4020,6475,3866
"CLNS1AP1",2,1,0,1,4,1,6,3,2,3,3,3
"CLOCK",1361,1146,1585,1861,1545,1691,1922,1094,1747,1318,1746,1283
